reaction_time,speed,slope,tire_type,road_type,stop_distance
0.33,25,1.8,passenger,dry,9.8
2.64,144,1.6,passenger,dry,214.7
2.24,189,-5.7,passenger,wet,584.4
2.47,124,4.0,passenger,wet,215.2
1.57,111,-9.2,passenger,dry,148.4
0.28,66,0.7,summer,wet,44.7
1.35,88,-5.4,passenger,dry,91.9
0.88,130,6.7,passenger,dry,106.9
1.71,165,-6.5,performance,wet,413.4
2.44,131,-8.6,performance,wet,339.0
0.5,176,-2.8,summer,wet,414.5
2.33,30,-0.3,summer,dry,16.6
1.39,178,-9.2,performance,dry,270.2
2.16,193,-6.2,performance,dry,337.3
0.21,67,5.9,passenger,wet,33.2
0.27,85,0.2,passenger,wet,71.8
0.92,33,8.0,passenger,dry,20.6
0.23,179,-1.6,performance,wet,322.9
2.85,197,7.3,passenger,wet,442.9
1.01,21,6.4,summer,dry,6.4
1.83,111,8.1,passenger,dry,121.3
0.84,58,6.4,passenger,dry,36.8
2.26,150,1.1,passenger,dry,221.4
1.29,31,8.3,performance,wet,19.0
0.95,35,1.2,passenger,dry,14.6
0.53,21,-5.8,passenger,wet,12.5
1.1,82,-3.4,performance,wet,101.0
2.62,68,8.2,summer,wet,91.2
2.5,71,-2.2,passenger,dry,76.9
2.95,192,1.8,summer,dry,368.3
2.61,63,-2.5,passenger,wet,98.4
0.64,83,1.0,summer,wet,82.9
0.76,66,-8.6,performance,dry,36.0
2.83,131,9.5,passenger,dry,187.8
1.69,162,-5.3,performance,dry,228.8
2.0,79,-8.6,passenger,dry,85.9
2.91,120,-0.5,passenger,wet,245.6
1.05,51,2.3,summer,wet,39.4
2.47,177,-8.0,passenger,wet,601.9
0.81,157,0.4,performance,dry,151.1
1.77,117,-5.3,passenger,dry,146.6
1.19,82,1.2,passenger,wet,88.4
3.0,15,5.1,performance,dry,9.5
2.75,61,5.3,performance,wet,75.5
0.41,68,6.1,performance,dry,34.2
0.29,36,7.8,summer,dry,9.6
2.35,24,5.9,performance,wet,29.6
2.87,33,9.9,passenger,dry,34.1
0.99,128,6.3,summer,dry,126.5
2.88,23,-7.1,summer,wet,31.1
