reaction_time,speed,slope,tire_type,road_type,stop_distance,road_type_coe,tire_type_coe,est_stop_distance,distance_compare
2.92,8.89,-0.04,passenger,dry,34.7,0.7,1.0,32.07,longer
1.78,27.78,-0.17,passenger,dry,132.6,0.7,1.0,123.74,longer
1.45,16.67,0.11,passenger,dry,45.1,0.7,1.0,41.68,longer
2.94,28.61,-0.03,passenger,wet,203.0,0.4,1.0,196.98,longer
1.66,22.5,-0.08,passenger,dry,75.0,0.7,1.0,79.01,shorter
2.86,25.56,0.08,passenger,wet,139.1,0.4,1.0,142.54,shorter
0.63,22.5,0.02,summer,wet,90.5,0.4,0.9,82.51,longer
0.85,13.33,-0.13,summer,wet,46.6,0.4,0.9,48.64,shorter
1.87,51.94,-0.12,passenger,wet,585.5,0.4,1.0,588.7,shorter
1.36,23.89,0.17,performance,dry,64.9,0.7,1.1,62.92,longer
2.62,36.11,0.02,performance,wet,232.8,0.4,1.1,238.61,shorter
0.43,53.33,-0.14,passenger,dry,282.1,0.7,1.0,282.05,longer
2.88,27.22,0.06,passenger,dry,126.0,0.7,1.0,128.13,shorter
2.42,15.83,-0.05,passenger,wet,69.5,0.4,1.0,74.84,shorter
2.15,26.11,0.01,performance,wet,139.1,0.4,1.1,133.26,longer
2.23,31.94,0.02,passenger,dry,146.7,0.7,1.0,143.52,longer
0.71,17.5,0.15,passenger,dry,21.0,0.7,1.0,30.81,shorter
